name,price,rating,description,image,age,review,category
Cotton T-Shirt,15.0,4.5,"Classic crew neck, 100% cotton, comfortable and breathable.",https://images.unsplash.com/photo-1484516396415-4971641de8e0?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxDb3R0b24lMjBULVNoaXJ0fGVufDB8fHx8MTczNzc4NTA0NXww&ixlib=rb-4.0.3&q=85,19,Fabric feels cheap and uncomfortable.,Clothing
Denim Jeans,70.0,4.2,"Regular fit, classic blue denim, durable and stylish.",https://images.unsplash.com/photo-1560243563-062bfc001d68?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxEZW5pbSUyMEplYW5zfGVufDB8fHx8MTczNzc4NTA0Nnww&ixlib=rb-4.0.3&q=85,26,Amazing value for money!,Clothing
Wool Sweater,50.0,4.0,"Soft and warm wool sweater, perfect for colder weather.",https://images.unsplash.com/photo-1601379327928-bedfaf9da2d0?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxXb29sJTIwU3dlYXRlcnxlbnwwfHx8fDE3Mzc3ODUwNDZ8MA&ixlib=rb-4.0.3&q=85,43,"Stylish and practical, I love it!",Clothing
Flannel Shirt,35.0,4.3,"Classic plaid flannel, soft and comfortable.",https://images.unsplash.com/photo-1601935033900-059813f9abfc?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxGbGFubmVsJTIwU2hpcnR8ZW58MHx8fHwxNzM3Nzg1MDQ2fDA&ixlib=rb-4.0.3&q=85,25,Fits perfectly and looks great.,Clothing
Lightweight Jacket,40.0,4.1,"Water-resistant, perfect for layering.",https://images.unsplash.com/photo-1542327897-d73f4005b533?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxMaWdodHdlaWdodCUyMEphY2tldHxlbnwwfHx8fDE3Mzc3ODUwNDd8MA&ixlib=rb-4.0.3&q=85,19,Amazing value for money!,Clothing
Hoodie,30.0,4.4,Comfortable and warm hoodie with a kangaroo pocket.,https://images.unsplash.com/photo-1556821840-3a63f95609a7?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxIb29kaWV8ZW58MHx8fHwxNzM3Nzg1MDQ3fDA&ixlib=rb-4.0.3&q=85,34,Fabric feels cheap and uncomfortable.,Clothing
Sneakers,60.0,4.6,"Comfortable and stylish sneakers, perfect for everyday wear.",https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxTbmVha2Vyc3xlbnwwfHx8fDE3Mzc3ODUwNDh8MA&ixlib=rb-4.0.3&q=85,40,The color faded after the first wash.,Clothing
Dress Pants,65.0,4.0,"Classic dress pants, perfect for formal occasions.",https://images.unsplash.com/photo-1611937685025-8d1df67a80b6?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxEcmVzcyUyMFBhbnRzfGVufDB8fHx8MTczNzc4NTA0OHww&ixlib=rb-4.0.3&q=85,45,Amazing value for money!,Clothing
Button-Down Shirt,30.0,4.2,"Classic button-down shirt, made from breathable cotton.",https://images.unsplash.com/photo-1464569039280-183cbe6ea28a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxCdXR0b24tRG93biUyMFNoaXJ0fGVufDB8fHx8MTczNzc4NTA1MHww&ixlib=rb-4.0.3&q=85,44,Fabric feels cheap and uncomfortable.,Clothing
Coat,100.0,3.9,"Warm and stylish coat, perfect for winter.",https://images.unsplash.com/photo-1539533113208-f6df8cc8b543?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MjZ8MHwxfHNlYXJjaHwxfHxDb2F0fGVufDB8fHx8MTczNzc4NTA1MHww&ixlib=rb-4.0.3&q=85,29,"Doesn’t fit as expected, very disappointing.",Clothing
