user_id,restaurant_id,age,gender,meal_category,review
U1000,AaharAlly_Main,16,Male,Snacks,Perfect flavor - Snacks is great!
U1000,AaharAlly_Main,16,Male,Vegan,Amazing taste - Vegan is great!
U1000,AaharAlly_Main,16,Male,Cheesy,I loved it - Cheesy is great!
U1001,AaharAlly_Main,20,Male,Street Food,Highly recommended - Street Food is great!
U1001,AaharAlly_Main,20,Male,Snacks,I loved it - Snacks is great!
U1001,AaharAlly_Main,20,Male,Snacks,Amazing taste - Snacks is great!
U1001,AaharAlly_Main,20,Male,Cheesy,Delicious - Cheesy is great!
U1002,AaharAlly_Main,25,Male,Spicy,I loved it - Spicy is great!
U1002,AaharAlly_Main,25,Male,Snacks,I loved it - Snacks is great!
U1003,AaharAlly_Main,23,Male,Spicy,Highly recommended - Spicy is great!
U1004,AaharAlly_Main,16,Male,Snacks,I loved it - Snacks is great!
U1005,AaharAlly_Main,19,Male,Seafood,Highly recommended - Seafood is great!
U1005,AaharAlly_Main,19,Male,Street Food,Highly recommended - Street Food is great!
U1005,AaharAlly_Main,19,Male,Chinese,Good value - Chinese is great!
U1006,AaharAlly_Main,15,Male,Snacks,Good value - Snacks is great!
U1006,AaharAlly_Main,15,Male,Cheesy,I loved it - Cheesy is great!
U1006,AaharAlly_Main,15,Male,Street Food,Good value - Street Food is great!
U1007,AaharAlly_Main,18,Male,Snacks,Amazing taste - Snacks is great!
U1007,AaharAlly_Main,18,Male,Indian Curry,Good value - Indian Curry is great!
U1007,AaharAlly_Main,18,Male,Snacks,I loved it - Snacks is great!
U1008,AaharAlly_Main,23,Male,Spicy,I loved it - Spicy is great!
U1009,AaharAlly_Main,24,Male,Snacks,Good value - Snacks is great!
U1009,AaharAlly_Main,24,Male,Spicy,I loved it - Spicy is great!
U1009,AaharAlly_Main,24,Male,Healthy,Highly recommended - Healthy is great!
U1010,AaharAlly_Main,19,Male,Spicy,Will order again - Spicy is great!
U1010,AaharAlly_Main,19,Male,Street Food,I loved it - Street Food is great!
U1010,AaharAlly_Main,19,Male,Chinese,Will order again - Chinese is great!
U1011,AaharAlly_Main,15,Male,Spicy,Will order again - Spicy is great!
U1011,AaharAlly_Main,15,Male,Spicy,Delicious - Spicy is great!
U1011,AaharAlly_Main,15,Male,Cheesy,Good value - Cheesy is great!
U1012,AaharAlly_Main,17,Male,Street Food,Amazing taste - Street Food is great!
U1012,AaharAlly_Main,17,Male,Spicy,Highly recommended - Spicy is great!
U1012,AaharAlly_Main,17,Male,Street Food,Good value - Street Food is great!
U1013,AaharAlly_Main,17,Male,Snacks,Highly recommended - Snacks is great!
U1013,AaharAlly_Main,17,Male,Street Food,Amazing taste - Street Food is great!
U1013,AaharAlly_Main,17,Male,Snacks,Highly recommended - Snacks is great!
U1013,AaharAlly_Main,17,Male,Spicy,Will order again - Spicy is great!
U1014,AaharAlly_Main,21,Male,Snacks,Will order again - Snacks is great!
U1014,AaharAlly_Main,21,Male,Spicy,Will order again - Spicy is great!
U1014,AaharAlly_Main,21,Male,Snacks,Amazing taste - Snacks is great!
U1015,AaharAlly_Main,17,Male,Cheesy,Will order again - Cheesy is great!
U1015,AaharAlly_Main,17,Male,Snacks,Amazing taste - Snacks is great!
U1015,AaharAlly_Main,17,Male,Spicy,Amazing taste - Spicy is great!
U1015,AaharAlly_Main,17,Male,Spicy,Will order again - Spicy is great!
U1016,AaharAlly_Main,19,Male,Street Food,Will order again - Street Food is great!
U1016,AaharAlly_Main,19,Male,Snacks,Will order again - Snacks is great!
U1016,AaharAlly_Main,19,Male,Snacks,I loved it - Snacks is great!
U1017,AaharAlly_Main,17,Male,Spicy,Good value - Spicy is great!
U1017,AaharAlly_Main,17,Male,Spicy,Perfect flavor - Spicy is great!
U1017,AaharAlly_Main,17,Male,Snacks,I loved it - Snacks is great!
U1018,AaharAlly_Main,25,Male,Street Food,Delicious - Street Food is great!
U1018,AaharAlly_Main,25,Male,Healthy,Perfect flavor - Healthy is great!
U1019,AaharAlly_Main,17,Male,Cheesy,Delicious - Cheesy is great!
U1020,AaharAlly_Main,20,Male,Dessert,Good value - Dessert is great!
U1020,AaharAlly_Main,20,Male,Cheesy,Highly recommended - Cheesy is great!
U1021,AaharAlly_Main,20,Male,Cheesy,Delicious - Cheesy is great!
U1021,AaharAlly_Main,20,Male,Spicy,Highly recommended - Spicy is great!
U1022,AaharAlly_Main,22,Male,Cheesy,Amazing taste - Cheesy is great!
U1022,AaharAlly_Main,22,Male,Snacks,Highly recommended - Snacks is great!
U1022,AaharAlly_Main,22,Male,Dessert,Highly recommended - Dessert is great!
U1023,AaharAlly_Main,23,Male,Spicy,Amazing taste - Spicy is great!
U1024,AaharAlly_Main,19,Male,Spicy,I loved it - Spicy is great!
U1025,AaharAlly_Main,19,Male,Street Food,I loved it - Street Food is great!
U1025,AaharAlly_Main,19,Male,Spicy,Delicious - Spicy is great!
U1025,AaharAlly_Main,19,Male,Spicy,I loved it - Spicy is great!
U1025,AaharAlly_Main,19,Male,Spicy,Perfect flavor - Spicy is great!
U1026,AaharAlly_Main,24,Male,Spicy,Amazing taste - Spicy is great!
U1026,AaharAlly_Main,24,Male,Snacks,Highly recommended - Snacks is great!
U1027,AaharAlly_Main,15,Male,Dessert,Perfect flavor - Dessert is great!
U1027,AaharAlly_Main,15,Male,Snacks,Perfect flavor - Snacks is great!
U1027,AaharAlly_Main,15,Male,Vegan,Delicious - Vegan is great!
U1028,AaharAlly_Main,20,Male,Snacks,I loved it - Snacks is great!
U1028,AaharAlly_Main,20,Male,Cheesy,Perfect flavor - Cheesy is great!
U1029,AaharAlly_Main,23,Male,Cheesy,I loved it - Cheesy is great!
U1029,AaharAlly_Main,23,Male,Snacks,Highly recommended - Snacks is great!
U1030,AaharAlly_Main,25,Male,Cheesy,Will order again - Cheesy is great!
U1030,AaharAlly_Main,25,Male,Spicy,Good value - Spicy is great!
U1031,AaharAlly_Main,21,Male,Street Food,Highly recommended - Street Food is great!
U1031,AaharAlly_Main,21,Male,Snacks,Delicious - Snacks is great!
U1031,AaharAlly_Main,21,Male,Indian Curry,Perfect flavor - Indian Curry is great!
U1032,AaharAlly_Main,20,Male,Spicy,Amazing taste - Spicy is great!
U1033,AaharAlly_Main,24,Male,Spicy,Delicious - Spicy is great!
U1033,AaharAlly_Main,24,Male,Seafood,Will order again - Seafood is great!
U1033,AaharAlly_Main,24,Male,Spicy,I loved it - Spicy is great!
U1034,AaharAlly_Main,22,Male,Cheesy,I loved it - Cheesy is great!
U1034,AaharAlly_Main,22,Male,Seafood,Amazing taste - Seafood is great!
