user_id,restaurant_id,age,gender,meal_category,review
U1,R1,48,Male,Street Food,The food was decent
U2,R2,15,Male,Indian Curry,I enjoyed it
U3,R3,38,Male,Vegan,but the food was just average.
U4,R4,62,Male,Chinese,making it a good value.
U5,R5,54,Female,Dessert,I loved the combination of flavors; it was a delightful surprise.
U6,R6,64,Female,Dessert,and the taste lived up to expectations.
U7,R7,26,Male,Snacks,making it a memorable dish.
U8,R8,36,Male,Street Food,and I appreciated the creativity behind it.
U9,R9,31,Female,Vegan,It was okay
U10,R10,14,Male,Seafood,The meal was packed with flavor; I can't wait to have it again!
U11,R11,59,Female,Indian Curry,making it a memorable dish.
U12,R12,57,Female,Vegan,The dish was well-prepared and the flavors were spot on!
U13,R13,27,Female,Snacks,I found it to be too oily for my liking.
U14,R14,24,Female,Street Food,and every bite was a joy!
U15,R15,37,Female,Vegan,It was quite disappointing; I expected a lot more flavor.
U16,R16,27,Female,Cheesy,I was left wanting more; it felt incomplete.
U17,R17,66,Male,Healthy,but I think it could use a bit more spice.
U18,R18,59,Female,Snacks,though not memorable.
U19,R19,18,Male,Dessert,The consistency was a bit strange; not what I expected.
U20,R20,32,Male,Vegan,and the taste did not disappoint.
U21,R21,10,Male,Vegan,but I feel there are better options available.
U22,R22,38,Male,Indian Curry,and I appreciated the creativity behind it.
U23,R23,47,Female,Chinese,and the taste did not disappoint.
U24,R24,27,Male,Seafood,I loved the combination of flavors; it was a delightful surprise.
U25,R25,37,Male,Dessert,a satisfying meal that I would recommend.
U26,R26,43,Female,Indian Curry,but I wouldn't order it again.
U27,R27,46,Male,Snacks,The meal had great potential but ultimately fell short.
U28,R28,57,Female,Seafood,I was thrilled with how flavorful it was; a real treat!
U29,R29,38,Male,Indian Curry,The meal was satisfying
U30,R30,55,Female,Seafood,making it a memorable dish.
U31,R31,66,Female,Dessert,It was fine
U32,R32,11,Male,Cheesy,Overall
U33,R33,70,Male,Indian Curry,Absolutely loved the spices used; it was a delightful experience!
U34,R34,51,Male,Chinese,and every bite was a joy!
U35,R35,30,Female,Healthy,a satisfying meal that I would recommend.
U36,R36,47,Female,Cheesy,The meal was packed with flavor; I can't wait to have it again!
U37,R37,64,Female,Snacks,The flavors were unique
U38,R38,25,Male,Cheesy,The aroma was inviting
U39,R39,20,Male,Seafood,but I think it could use a bit more spice.
U40,R40,39,Male,Cheesy,I enjoyed it
U41,R41,33,Male,Seafood,but I think it could use a bit more spice.
U42,R42,20,Female,Vegan,The overall experience was pleasant
U43,R43,48,Male,Dessert,but I think it could use a bit more spice.
U44,R44,10,Female,Spicy,The aroma was inviting
U45,R45,54,Female,Spicy,and I appreciated the creativity behind it.
U46,R46,38,Female,Indian Curry,making it a memorable dish.
U47,R47,36,Female,Street Food,I was left wanting more; it felt incomplete.
U48,R48,47,Male,Dessert,The meal was satisfying
U49,R49,32,Female,Street Food,Absolutely loved the spices used; it was a delightful experience!
U50,R50,69,Female,Healthy,but I feel there are better options available.
U51,R51,33,Female,Healthy,The aroma was inviting
U52,R52,41,Female,Healthy,It was fine
U53,R53,70,Female,Street Food,and the taste lived up to expectations.
U54,R54,13,Female,Street Food,but I feel there are better options available.
U55,R55,55,Female,Cheesy,I enjoyed it
U56,R56,34,Female,Indian Curry,but I expected more based on the reviews.
U57,R57,15,Male,Cheesy,The dish was well-prepared and the flavors were spot on!
U58,R58,68,Female,Spicy,The dish was well-prepared and the flavors were spot on!
U59,R59,64,Male,Healthy,The portion size was generous
U60,R60,13,Male,Cheesy,but it missed the mark.
U61,R61,63,Male,Vegan,a satisfying meal that I would recommend.
U62,R62,32,Male,Seafood,The presentation was impressive
U63,R63,54,Male,Spicy,The meal was satisfying
U64,R64,60,Male,Vegan,The flavors were unique
U65,R65,49,Male,Spicy,I enjoyed it
U66,R66,24,Female,Chinese,The aroma was inviting
U67,R67,41,Female,Spicy,The texture was perfect
U68,R68,59,Female,Indian Curry,The service was excellent
U69,R69,22,Female,Spicy,The food was decent
U70,R70,66,Male,Cheesy,I enjoyed the freshness of the ingredients; it made a difference.
U71,R71,10,Female,Healthy,I was not a fan of the seasoning; it felt a bit off.
U72,R72,22,Male,Chinese,It was fine
U73,R73,33,Female,Snacks,I enjoyed the freshness of the ingredients; it made a difference.
U74,R74,44,Male,Snacks,but I expected more based on the reviews.
U75,R75,24,Male,Indian Curry,making it a memorable dish.
U76,R76,47,Male,Seafood,but the seasoning could improve.
U77,R77,49,Female,Chinese,It was just alright; I wouldn't go out of my way to have it again.
U78,R78,64,Male,Indian Curry,It was quite disappointing; I expected a lot more flavor.
U79,R79,62,Male,Street Food,I appreciated the effort put into the dish
U80,R80,49,Male,Seafood,The dish was well-prepared and the flavors were spot on!
U81,R81,26,Female,Indian Curry,The presentation was impressive
U82,R82,18,Female,Indian Curry,The food was decent
U83,R83,38,Female,Snacks,making it a good value.
U84,R84,13,Female,Seafood,The meal was packed with flavor; I can't wait to have it again!
U85,R85,24,Male,Street Food,I found it to be too oily for my liking.
U86,R86,11,Female,Spicy,I found the meal to be quite average; nothing particularly stood out.
U87,R87,67,Female,Vegan,but the food was just average.
U88,R88,55,Female,Cheesy,The meal was packed with flavor; I can't wait to have it again!
U89,R89,60,Female,Spicy,It was quite disappointing; I expected a lot more flavor.
U90,R90,33,Male,Indian Curry,The dish was average; I expected more based on the hype.
U91,R91,35,Male,Chinese,The dish was well-prepared and the flavors were spot on!
U92,R92,57,Female,Dessert,The aroma was inviting
U93,R93,55,Male,Cheesy,I was thrilled with how flavorful it was; a real treat!
U94,R94,67,Male,Chinese,but it missed the mark.
U95,R95,29,Male,Cheesy,and I appreciated the creativity behind it.
U96,R96,49,Female,Street Food,and the taste did not disappoint.
U97,R97,28,Male,Spicy,and the taste lived up to expectations.
U98,R98,58,Female,Indian Curry,but I feel there are better options available.
U99,R99,29,Male,Indian Curry,The meal was satisfying
U100,R100,26,Female,Chinese,I was surprised by how bland the dish turned out to be.
U101,R101,59,Female,Seafood,It was okay
U102,R102,28,Male,Street Food,I was not a fan of the seasoning; it felt a bit off.
U103,R103,62,Male,Cheesy,I loved the combination of flavors; it was a delightful surprise.
U104,R104,40,Female,Cheesy,but I wouldn't order it again.
U105,R105,11,Female,Seafood,and the taste did not disappoint.
U106,R106,16,Male,Street Food,I was surprised by how bland the dish turned out to be.
U107,R107,18,Female,Healthy,I appreciated the effort put into the dish
U108,R108,28,Female,Snacks,The dish was well-prepared and the flavors were spot on!
U109,R109,27,Female,Healthy,The overall experience was pleasant
U110,R110,43,Male,Snacks,The meal was satisfying
U111,R111,39,Male,Seafood,The flavors were unique
U112,R112,39,Male,Dessert,The aroma was inviting
U113,R113,40,Male,Healthy,but I feel there are better options available.
U114,R114,46,Male,Vegan,but it missed the mark.
U115,R115,15,Female,Indian Curry,I was left wanting more; it felt incomplete.
U116,R116,33,Male,Chinese,and I appreciated the creativity behind it.
U117,R117,10,Male,Cheesy,but I expected more based on the reviews.
U118,R118,13,Male,Cheesy,I was not a fan of the seasoning; it felt a bit off.
U119,R119,29,Female,Seafood,but I expected more based on the reviews.
U120,R120,48,Female,Indian Curry,but I feel there are better options available.
U121,R121,34,Male,Spicy,making it a memorable dish.
U122,R122,63,Male,Healthy,It was fine
U123,R123,32,Female,Indian Curry,The portion size was generous
U124,R124,39,Male,Chinese,a satisfying meal that I would recommend.
U125,R125,65,Female,Spicy,making it a good value.
U126,R126,11,Female,Cheesy,The portion size was generous
U127,R127,16,Female,Seafood,The meal was packed with flavor; I can't wait to have it again!
U128,R128,30,Male,Spicy,but I feel there are better options available.
U129,R129,54,Female,Healthy,I found it to be too oily for my liking.
U130,R130,40,Male,Chinese,I appreciated the effort put into the dish
U131,R131,12,Female,Indian Curry,The presentation was impressive
U132,R132,38,Male,Vegan,The meal was packed with flavor; I can't wait to have it again!
U133,R133,49,Female,Chinese,The overall experience was pleasant
U134,R134,28,Female,Healthy,and the taste lived up to expectations.
U135,R135,30,Female,Snacks,The consistency was a bit strange; not what I expected.
U136,R136,28,Female,Vegan,The food was decent
U137,R137,38,Male,Chinese,I was surprised by how bland the dish turned out to be.
U138,R138,23,Male,Chinese,but the food was just average.
U139,R139,32,Female,Chinese,The overall experience was pleasant
U140,R140,17,Female,Street Food,The portion size was generous
U141,R141,57,Male,Indian Curry,but I expected more based on the reviews.
U142,R142,29,Female,Dessert,but the food was just average.
U143,R143,17,Female,Vegan,I loved the combination of flavors; it was a delightful surprise.
U144,R144,43,Male,Vegan,I appreciated the effort put into the dish
U145,R145,25,Female,Seafood,I was surprised by how bland the dish turned out to be.
U146,R146,67,Male,Dessert,but I feel there are better options available.
U147,R147,48,Male,Dessert,and I appreciated the creativity behind it.
U148,R148,37,Male,Dessert,and the taste did not disappoint.
U149,R149,46,Male,Spicy,I enjoyed it
U150,R150,53,Female,Vegan,The flavors were unique
U151,R151,37,Male,Vegan,I was thrilled with how flavorful it was; a real treat!
U152,R152,36,Male,Street Food,I was not a fan of the seasoning; it felt a bit off.
U153,R153,51,Male,Spicy,I was not a fan of the seasoning; it felt a bit off.
U154,R154,56,Female,Cheesy,The meal had great potential but ultimately fell short.
U155,R155,43,Male,Cheesy,The meal was packed with flavor; I can't wait to have it again!
U156,R156,35,Male,Healthy,Overall
U157,R157,26,Male,Chinese,The meal was satisfying
U158,R158,31,Male,Vegan,I loved the combination of flavors; it was a delightful surprise.
U159,R159,22,Female,Seafood,It was fine
U160,R160,16,Male,Snacks,though not memorable.
U161,R161,54,Female,Seafood,but it missed the mark.
U162,R162,51,Female,Chinese,It was okay
U163,R163,68,Male,Cheesy,but I feel there are better options available.
U164,R164,13,Male,Street Food,The portion size was generous
U165,R165,61,Male,Dessert,The consistency was a bit strange; not what I expected.
U166,R166,33,Male,Healthy,though not memorable.
U167,R167,33,Male,Chinese,I found the meal to be quite average; nothing particularly stood out.
U168,R168,69,Male,Indian Curry,The texture was perfect
U169,R169,46,Male,Snacks,It was just alright; I wouldn't go out of my way to have it again.
U170,R170,53,Male,Chinese,but I wouldn't order it again.
U171,R171,47,Male,Seafood,The food was decent
U172,R172,20,Female,Seafood,The texture was perfect
U173,R173,32,Male,Chinese,The texture was perfect
U174,R174,67,Female,Seafood,I loved the combination of flavors; it was a delightful surprise.
U175,R175,20,Male,Snacks,It was fine
U176,R176,10,Male,Chinese,The meal was packed with flavor; I can't wait to have it again!
U177,R177,28,Male,Dessert,and I appreciated the creativity behind it.
U178,R178,26,Male,Snacks,The dish was well-prepared and the flavors were spot on!
U179,R179,39,Female,Snacks,and every bite was a joy!
U180,R180,69,Female,Dessert,The food was decent
U181,R181,31,Female,Healthy,and I appreciated the creativity behind it.
U182,R182,67,Male,Spicy,It was just alright; I wouldn't go out of my way to have it again.
U183,R183,38,Male,Healthy,The overall experience was pleasant
U184,R184,69,Male,Snacks,and I appreciated the creativity behind it.
U185,R185,54,Female,Vegan,I found the meal to be quite average; nothing particularly stood out.
U186,R186,51,Male,Seafood,Overall
U187,R187,57,Female,Dessert,I was surprised by how bland the dish turned out to be.
U188,R188,70,Female,Spicy,I was thrilled with how flavorful it was; a real treat!
U189,R189,40,Female,Street Food,I appreciated the effort put into the dish
U190,R190,33,Female,Indian Curry,and every bite was a joy!
U191,R191,13,Male,Dessert,I loved the combination of flavors; it was a delightful surprise.
U192,R192,60,Female,Seafood,making it a good value.
U193,R193,47,Female,Seafood,and the taste did not disappoint.
U194,R194,52,Male,Vegan,Overall
U195,R195,70,Male,Indian Curry,and the taste lived up to expectations.
U196,R196,16,Female,Healthy,I found the meal to be quite average; nothing particularly stood out.
U197,R197,30,Female,Cheesy,I found it to be too oily for my liking.
U198,R198,55,Male,Dessert,The dish was well-prepared and the flavors were spot on!
U199,R199,69,Male,Street Food,but the food was just average.
U200,R200,48,Female,Cheesy,It was quite disappointing; I expected a lot more flavor.
U201,R201,47,Female,Dessert,but it missed the mark.
